,Gender,Age,Country,Education,Major,Profession,Industry,Experience,Annual_Salary,target
1673,Male,30-34,Other,Bachelor’s degree,Mathematics or statistics,Other,Non-profit/Service,0-1,"0-10,000",5000
1674,Male,45-49,Europe,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Academics/Education,15-20,"50-60,000",55000
1675,Female,25-29,Europe,Master’s degree,"Information technology, networking, or system administration",Data Analyst,I am a student,0-1,"0-10,000",5000
1676,Male,25-29,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Online Service/Internet-based Services,5-10,"0-10,000",5000
1677,Male,25-29,USA,Master’s degree,Engineering (non-computer focused),Data Scientist,Online Service/Internet-based Services,2-3,"125-150,000",137500
1678,Male,25-29,Asia,Master’s degree,"Computer science (software engineering, etc.)",Other,Academics/Education,3-4,"10-20,000",15000
1679,Female,22-24,Europe,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,2-3,"10-20,000",15000
1680,Male,25-29,Europe,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Business Analyst,Insurance/Risk Assessment,3-4,"50-60,000",55000
1681,Female,30-34,Europe,Master’s degree,Mathematics or statistics,Data Scientist,Energy/Mining,2-3,"80-90,000",85000
1682,Male,30-34,Europe,Doctoral degree,Physics or astronomy,Research Scientist,Academics/Education,5-10,"60-70,000",65000
1683,Male,22-24,Other,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,2-3,"0-10,000",5000
1685,Male,30-34,South America,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Online Service/Internet-based Services,2-3,"30-40,000",35000
1686,Male,22-24,Europe,Master’s degree,Mathematics or statistics,Student,I am a student,4-5,"0-10,000",5000
1687,Male,35-39,Europe,Doctoral degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Data Analyst,Marketing/CRM,0-1,"30-40,000",35000
1688,Female,40-44,Middle East,Master’s degree,"Computer science (software engineering, etc.)",Chief Officer,Computers/Technology,5-10,"50-60,000",55000
1690,Male,25-29,Asia,Doctoral degree,Engineering (non-computer focused),Manager,Computers/Technology,0-1,"40-50,000",45000
1692,Male,25-29,Europe,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Scientist,Online Service/Internet-based Services,2-3,"50-60,000",55000
1693,Female,30-34,Europe,Doctoral degree,Engineering (non-computer focused),Data Scientist,Medical/Pharmaceutical,1-2,"60-70,000",65000
1695,Male,30-34,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Online Service/Internet-based Services,5-10,"20-30,000",25000
1697,Male,22-24,Asia,Master’s degree,Engineering (non-computer focused),Software Engineer,Manufacturing/Fabrication,1-2,"0-10,000",5000
1699,Male,22-24,India,Bachelor’s degree,Other,Data Engineer,Retail/Sales,1-2,"20-30,000",25000
1700,Male,30-34,Africa,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Consultant,Non-profit/Service,5-10,"30-40,000",35000
1702,Male,25-29,Europe,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,2-3,"70-80,000",75000
1703,Male,40-44,Middle East,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,15-20,"100-125,000",112500
1704,Male,35-39,Asia,Doctoral degree,Mathematics or statistics,Data Scientist,Computers/Technology,3-4,"0-10,000",5000
1707,Male,18-21,India,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Data Engineer,I am a student,0-1,"0-10,000",5000
1708,Male,35-39,Europe,Bachelor’s degree,"Information technology, networking, or system administration",Data Engineer,Manufacturing/Fabrication,5-10,"40-50,000",45000
1709,Male,25-29,South America,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Other,2-3,"40-50,000",45000
1711,Female,30-34,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Student,Academics/Education,4-5,"10-20,000",15000
1713,Male,30-34,Middle East,Master’s degree,Engineering (non-computer focused),Data Scientist,Medical/Pharmaceutical,1-2,"80-90,000",85000
1714,Male,22-24,North America,Professional degree,Mathematics or statistics,Data Analyst,I am a student,0-1,"0-10,000",5000
1715,Male,25-29,Asia,Bachelor’s degree,"Computer science (software engineering, etc.)",Consultant,Government/Public Service,2-3,"50-60,000",55000
1716,Male,40-44,India,Professional degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,20-25,"30-40,000",35000
1717,Male,18-21,India,Bachelor’s degree,"Information technology, networking, or system administration",Student,I am a student,2-3,"0-10,000",5000
1718,Female,45-49,Other,Master’s degree,Engineering (non-computer focused),Manager,Retail/Sales,15-20,"30-40,000",35000
1719,Male,35-39,Europe,Doctoral degree,Physics or astronomy,Data Scientist,Computers/Technology,1-2,"90-100,000",95000
1720,Male,22-24,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Student,Academics/Education,4-5,"30-40,000",35000
1723,Male,18-21,Oceania,Master’s degree,"Humanities (history, literature, philosophy, etc.)",Data Scientist,Computers/Technology,1-2,"10-20,000",15000
1724,Prefer not to say,22-24,dna,Bachelor’s degree,Engineering (non-computer focused),Software Engineer,Online Service/Internet-based Services,0-1,"0-10,000",5000
1725,Male,22-24,South America,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Scientist,Marketing/CRM,1-2,"20-30,000",25000
1727,Male,25-29,South America,Master’s degree,Engineering (non-computer focused),Data Scientist,Other,1-2,"20-30,000",25000
1728,Male,22-24,Other,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Energy/Mining,2-3,"0-10,000",5000
1729,Prefer to self-describe,55-59,Europe,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Consultant,Computers/Technology,30 +,"100-125,000",112500
1731,Male,30-34,North America,Master’s degree,Mathematics or statistics,Research Scientist,Computers/Technology,0-1,"80-90,000",85000
1733,Female,35-39,North America,Professional degree,I never declared a major,Student,I am a student,5-10,"20-30,000",25000
1734,Male,30-34,South America,Bachelor’s degree,Mathematics or statistics,Data Analyst,Government/Public Service,5-10,"30-40,000",35000
1736,Male,30-34,Other,Doctoral degree,"Computer science (software engineering, etc.)",Student,Academics/Education,2-3,"30-40,000",35000
1737,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Accounting/Finance,0-1,"20-30,000",25000
1738,Female,25-29,USA,Master’s degree,Mathematics or statistics,Data Analyst,Computers/Technology,4-5,"125-150,000",137500
1740,Male,30-34,Europe,Doctoral degree,"A business discipline (accounting, economics, finance, etc.)",Research Scientist,Academics/Education,3-4,"40-50,000",45000
1741,Male,30-34,Europe,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Government/Public Service,4-5,"30-40,000",35000
1742,Male,22-24,India,Master’s degree,Engineering (non-computer focused),Data Scientist,Computers/Technology,0-1,"10-20,000",15000
1743,Female,25-29,Europe,Master’s degree,"Computer science (software engineering, etc.)",Research Scientist,Academics/Education,1-2,"40-50,000",45000
1744,Male,22-24,Asia,Master’s degree,"Computer science (software engineering, etc.)",Research Assistant,Accounting/Finance,0-1,"30-40,000",35000
1746,Male,25-29,Asia,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1-2,"40-50,000",45000
1747,Male,25-29,Europe,Master’s degree,"Computer science (software engineering, etc.)",Student,Academics/Education,0-1,"10-20,000",15000
1748,Male,30-34,Europe,Doctoral degree,Physics or astronomy,Research Scientist,Academics/Education,1-2,"30-40,000",35000
1749,Male,45-49,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,15-20,"50-60,000",55000
1750,Male,30-34,Europe,Master’s degree,Engineering (non-computer focused),Data Scientist,Computers/Technology,0-1,"30-40,000",35000
1751,Male,55-59,South America,Master’s degree,Engineering (non-computer focused),Chief Officer,Academics/Education,20-25,"70-80,000",75000
1752,Female,22-24,Africa,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,I am a student,0-1,"0-10,000",5000
1754,Male,25-29,Europe,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,4-5,"80-90,000",85000
1755,Male,22-24,Europe,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,15-20,"0-10,000",5000
1756,Male,25-29,Europe,Master’s degree,Mathematics or statistics,Consultant,Accounting/Finance,3-4,"40-50,000",45000
1757,Male,25-29,Europe,Master’s degree,"Computer science (software engineering, etc.)",Data Engineer,Computers/Technology,1-2,"20-30,000",25000
1758,Male,40-44,Europe,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Accounting/Finance,4-5,"50-60,000",55000
1760,Male,25-29,Asia,Bachelor’s degree,"Computer science (software engineering, etc.)",Chief Officer,Computers/Technology,2-3,"30-40,000",35000
1761,Female,25-29,Middle East,Master’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Data Analyst,Medical/Pharmaceutical,3-4,"50-60,000",55000
1763,Male,30-34,Asia,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Research Scientist,Manufacturing/Fabrication,5-10,"50-60,000",55000
1766,Male,18-21,India,Bachelor’s degree,Engineering (non-computer focused),Student,Academics/Education,1-2,"0-10,000",5000
1767,Male,25-29,South America,Professional degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Research Scientist,Medical/Pharmaceutical,1-2,"10-20,000",15000
1768,Female,22-24,Other,Master’s degree,Mathematics or statistics,Statistician,Government/Public Service,1-2,"10-20,000",15000
1769,Male,18-21,Africa,Master’s degree,Mathematics or statistics,Student,I am a student,0-1,"0-10,000",5000
1771,Male,25-29,South America,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Analyst,Government/Public Service,2-3,"30-40,000",35000
1772,Male,25-29,China,Doctoral degree,Engineering (non-computer focused),Software Engineer,Manufacturing/Fabrication,1-2,"0-10,000",5000
1773,Male,22-24,Europe,Doctoral degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Student,Academics/Education,0-1,"0-10,000",5000
1774,Male,35-39,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,5-10,"50-60,000",55000
1775,Male,60-69,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Research Scientist,Academics/Education,20-25,"30-40,000",35000
1776,Male,22-24,Other,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,0-1,"0-10,000",5000
1779,Male,35-39,Europe,Doctoral degree,Physics or astronomy,Data Scientist,Other,0-1,"30-40,000",35000
1780,Male,25-29,South America,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,3-4,"0-10,000",5000
1781,Male,22-24,Africa,Bachelor’s degree,Mathematics or statistics,Data Analyst,Marketing/CRM,0-1,"0-10,000",5000
1782,Male,25-29,Europe,Some college/university study without earning a bachelor’s degree,I never declared a major,Data Scientist,Computers/Technology,0-1,"20-30,000",25000
1784,Male,35-39,Europe,Doctoral degree,"A business discipline (accounting, economics, finance, etc.)",Data Scientist,Marketing/CRM,0-1,"50-60,000",55000
1785,Male,25-29,India,I prefer not to answer,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,4-5,"10-20,000",15000
1786,Male,35-39,Other,Master’s degree,Mathematics or statistics,Statistician,Government/Public Service,10-15,"100-125,000",112500
1787,Male,22-24,Oceania,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,I am a student,0-1,"30-40,000",35000
1788,Male,40-44,South America,Master’s degree,Engineering (non-computer focused),Data Scientist,Online Service/Internet-based Services,5-10,"20-30,000",25000
1789,Male,25-29,Europe,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,5-10,"80-90,000",85000
1792,Female,22-24,Asia,Master’s degree,"Computer science (software engineering, etc.)",Data Engineer,Computers/Technology,1-2,"10-20,000",15000
1794,Male,25-29,Other,Doctoral degree,"A business discipline (accounting, economics, finance, etc.)",Research Scientist,Academics/Education,3-4,"0-10,000",5000
1797,Female,22-24,Europe,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1-2,"30-40,000",35000
1798,Male,35-39,South America,Master’s degree,Other,Data Scientist,Online Service/Internet-based Services,4-5,"90-100,000",95000
1799,Female,18-21,Asia,Bachelor’s degree,"Computer science (software engineering, etc.)",Other,Medical/Pharmaceutical,0-1,"0-10,000",5000
1800,Male,30-34,India,Bachelor’s degree,Engineering (non-computer focused),Data Scientist,Computers/Technology,1-2,"10-20,000",15000
1802,Female,25-29,North America,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,2-3,"0-10,000",5000
1803,Male,25-29,Europe,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Insurance/Risk Assessment,4-5,"30-40,000",35000
1804,Female,25-29,North America,Master’s degree,"Humanities (history, literature, philosophy, etc.)",Business Analyst,Energy/Mining,1-2,"50-60,000",55000
1805,Male,25-29,Oceania,Master’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Data Journalist,Broadcasting/Communications,0-1,"0-10,000",5000
